,values
608,-5.70829
609,-6.91955
610,-6.17631
611,-3.75777
612,-6.42709
613,-3.16892
614,-7.13612
615,-3.33546
616,-8.33348
617,-3.79135
618,-6.85117
619,-2.31584
620,-9.11087
621,-2.9442
622,-10.07232
623,-2.03809
624,-6.89204
625,-3.03878
626,-9.04645
627,-4.25687
628,-8.20981
629,-3.38817
630,-9.86684
631,-3.66269
632,-7.69656
633,-2.75234
634,-7.23163
635,-4.23592
636,-8.31335
637,-2.70173
638,-9.03322
639,-0.54328
640,-10.84047
641,-0.45695
642,-10.47028
643,-2.52683
644,-9.37223
645,-2.40447
646,-10.34741
647,-1.13174
648,-11.40932
649,-0.46753
650,-11.36213
651,-1.65478
652,-8.39546
653,-1.68054
654,-8.56132
655,-2.17289
656,-7.80639
657,-2.30437
658,-7.41567
659,-4.65262
660,-4.91353
661,-5.00659
662,-8.74184
663,-2.49006
664,-8.07935
665,-3.62589
666,-8.77297
667,-4.43638
668,-8.67849
669,-4.51719
670,-7.17661
671,-3.88073
672,-6.50053
673,-3.40736
674,-9.46035
675,-1.19473
676,-9.84971
677,-0.4252
678,-13.02043
679,-1.08916
680,-12.94257
681,-2.03369
682,-10.35889
683,-2.87756
684,-9.22371
685,-1.77617
686,-10.09097
687,-3.67837
688,-7.64156
689,-3.64938
690,-7.36436
691,-1.27208
692,-10.88407
693,-0.96651
694,-11.28537
695,-2.40778
696,-9.1394
697,-3.57137
698,-7.07939
699,-4.365
700,-8.2188
701,-3.26065
702,-8.53855
703,-2.18263
704,-10.6776
705,-0.78819
706,-10.20134
707,-1.02495
708,-10.73867
709,-1.27503
710,-13.47806
711,-0.93473
712,-14.33867
713,-1.22917
714,-12.33938
715,-0.609
716,-11.74133
717,-1.04565
718,-12.93919
719,-1.30006
720,-11.86174
721,0.24578
722,-12.68822
723,-2.24398
724,-11.27682
725,-2.50649
726,-10.39705
727,-2.73268
728,-9.09168
729,-1.92005
730,-9.71491
731,-1.08458
732,-9.94753
733,-2.17312
734,-10.21157
735,-0.8583
736,-11.60607
737,-3.89995
738,-8.2193
739,-1.39608
740,-9.50417
741,-1.24949
742,-9.84444
743,-3.90873
744,-8.42277
745,-3.07043
746,-7.03422
747,-4.32744
748,-6.69276
749,-4.32215
750,-6.75062
751,-2.84767
752,-7.86659
753,-4.58868
754,-5.7869
755,-3.20876
756,-6.82455
757,-3.39429
758,-6.08957
759,-4.75595
760,-4.59285
761,-6.14478
762,-2.43729
763,-9.52914
764,-1.8851
765,-10.06481
766,-0.2421
767,-13.06996
768,0.04435
769,-14.37315
770,1.04894
771,-15.20368
772,-0.84898
773,-12.3038
774,0.54111
775,-12.99257
776,0.90592
777,-11.88784
778,-1.45761
779,-10.70757
780,-0.66096
781,-11.3309
782,-1.72588
783,-8.1222
784,-2.10584
785,-10.09358
786,-1.88597
787,-10.55227
788,-1.75678
789,-9.81934
790,-3.10604
791,-11.55199
792,-0.92164
793,-12.23404
794,-1.65662
795,-10.45282
796,-0.89046
797,-11.9451
798,-1.21471
799,-14.3623
800,-0.3985
801,-15.24122
802,-1.98051
803,-12.16856
804,-2.40602
805,-10.4162
806,-3.58379
807,-7.64551
808,-2.35599
809,-10.36838
810,-1.61586
811,-12.58423
812,0.61345
813,-12.53178
814,-2.44136
815,-12.39114
816,-2.53149
817,-9.02372
818,-5.49416
819,-8.20711
820,-1.91731
821,-10.79234
822,-1.50217
823,-11.69503
824,-1.17808
825,-12.73412
826,-2.00253
827,-9.57475
828,0.15235
829,-13.84796
830,-1.34107
831,-12.72228
832,-0.06908
833,-14.71931
834,-2.15467
835,-10.38254
836,-2.80361
837,-9.61308
838,-0.40474
839,-14.72518
840,-1.91936
841,-10.21836
842,-2.7607
843,-9.63912
844,-3.36269
845,-6.04882
846,-4.71317
847,-7.04443
848,-3.52589
849,-7.8594
850,-2.23704
851,-7.64101
852,-2.20906
853,-9.37722
854,-0.66877
855,-14.56738
856,-2.49095
857,-10.08937
858,-0.29105
859,-12.63981
860,-0.31668
861,-11.80586
862,-3.07282
863,-10.33422
864,-2.90272
865,-10.10779
866,-1.84587
867,-10.65065
868,-1.14031
869,-13.29192
870,-2.43593
871,-10.3793
872,-0.09132
873,-13.45606
874,0.26074
875,-14.68382
876,-2.2023
877,-12.43732
878,-0.87622
879,-12.78248
880,1.26329
881,-12.66014
882,-0.90684
883,-12.18025
884,-2.56789
885,-11.33659
886,-2.41362
887,-11.89405
888,-1.86443
889,-10.19041
890,-1.79484
891,-12.53296
892,-3.44544
893,-11.16886
894,-0.75308
895,-10.57303
896,-2.06227
897,-9.22161
898,-0.53901
899,-14.54615
900,-1.99232
901,-10.82721
902,-2.34316
903,-11.58733
904,-0.21702
905,-12.74698
906,-1.53415
907,-11.56671
908,-1.95088
909,-10.40998
910,-1.1619
911,-12.24796
912,-1.85001
913,-10.41846
914,-0.25848
915,-12.38374
916,-0.34421
917,-10.82128
918,-1.70112
919,-9.29294
920,-1.02023
921,-11.05528
922,-3.35657
923,-7.31384
924,-3.52394
925,-7.58605
926,-5.06991
927,-6.91872
928,-6.16188
929,-5.07603
930,-5.32533
931,-4.47786
932,-6.26767
933,-6.14509
934,-5.47826
935,-3.2672
936,-8.14209
937,-3.50759
938,-6.59661
939,-3.32671
940,-7.78719
941,-1.77675
942,-9.09917
943,-0.75257
944,-12.07231
945,-0.23301
946,-13.5892
947,-0.91465
948,-11.93131
949,-1.92294
950,-9.27631
951,-0.43893
952,-12.23757
953,-0.51947
954,-13.29543
955,-2.08975
956,-12.4794
957,-2.34535
958,-10.57388
959,-3.97693
960,-6.28103
961,-5.66474
962,-5.874
963,-6.13558
964,-2.95769
965,-8.83997
966,-4.21164
967,-6.49136
968,-5.25329
969,-2.30388
970,-10.07089
971,-1.6267
972,-11.18861
973,-2.78767
974,-9.43304
975,-0.51199
976,-11.70699
977,-2.06393
978,-11.23234
979,-2.04933
980,-10.76357
981,-1.51393
982,-8.11611
983,-2.01041
984,-10.30969
985,-2.01605
986,-8.06445
987,-2.83188
988,-6.98216
989,-3.15521
990,-6.43335
991,-4.09485
992,-7.59436
993,-2.722
994,-7.30006
995,-2.94077
996,-10.00007
997,-11.06459
998,-0.0281
999,-13.1891
1000,-0.72839
1001,-12.17331
1002,-1.55512
1003,-11.07924
1004,-0.01899
1005,-10.17126
1006,-1.85685
1007,-10.64165
1008,-3.52595
1009,-10.89781
1010,-4.25228
1011,-5.26169
1012,-4.90499
1013,-5.88147
1014,-5.09663
1015,-7.24699
1016,-5.5876
1017,-6.21028
1018,-3.85834
1019,-6.85039
1020,-6.43531
1021,-6.28303
1022,-5.36094
1023,-4.6973
1024,-6.84608
1025,-4.63
1026,-4.45891
1027,-8.32947
1028,-3.108
1029,-8.00913
1030,-4.87427
1031,-5.76108
1032,-5.01986
1033,-6.16404
1034,-3.96606
1035,-3.73755
1036,-7.03416
1037,-3.52972
1038,-9.13798
1039,-3.12206
1040,-8.87692
1041,-2.7053
1042,-8.75262
1043,-1.41575
1044,-8.45847
1045,-4.29247
1046,-8.36585
1047,-3.5232
1048,-9.33504
1049,-3.2163
1050,-10.64173
1051,-2.26293
1052,-8.74443
1053,-2.65123
1054,-8.02594
1055,-1.71668
1056,-10.58556
1057,-1.12969
1058,-12.90264
1059,-1.35718
1060,-12.21861
1061,-0.6143
1062,-11.34953
1063,-2.42209
1064,-10.6876
1065,-2.50223
1066,-8.30862
1067,-3.89309
1068,-6.86782
1069,-5.3234
1070,-5.03663
1071,-4.8171
1072,-5.50413
1073,-5.75405
1074,-5.1059
1075,-5.78046
1076,-4.86178
1077,-7.21667
1078,-4.44975
1079,-7.16078
1080,-2.98831
1081,-6.9223
1082,-5.1457
1083,-6.5996
1084,-6.68753
1085,-3.06297
1086,-7.79004
1087,-4.86747
1088,-6.73602
1089,-2.35961
1090,-9.64616
1091,-3.3456
1092,-8.38175
1093,-3.86035
1094,-7.97578
1095,-4.5471
1096,-6.58946
1097,-3.37269
1098,-6.8105
1099,-2.13988
1100,-7.94538
1101,-2.76833
1102,-10.29596
1103,-1.80124
1104,-9.06358
1105,-2.09574
1106,-9.68706
1107,-1.63734
1108,-10.21357
1109,-0.81481
1110,-10.03304
1111,-1.52884
1112,-10.57126
1113,-2.91409
1114,-10.45602
1115,-2.37936
1116,-11.045
1117,-1.95728
1118,-13.30462
1119,-0.60758
1120,-10.81216
1121,-1.86252
1122,-10.75726
1123,-1.08448
1124,-11.56849
1125,-4.15192
1126,-9.2699
1127,-3.32428
1128,-11.53559
1129,-0.7571
1130,-13.0828
1131,-2.8242
1132,-8.65989
1133,-3.78221
1134,-7.33256
1135,-5.95637
1136,-3.92923
1137,-6.4019
1138,-4.8982
1139,-7.68618
1140,-5.84457
1141,-3.74243
1142,-5.97487
1143,-5.45212
1144,-5.86783
1145,-4.77597
1146,-7.18821
1147,-3.01801
1148,-8.07231
1149,-3.48236
1150,-6.77598
1151,-5.45719
1152,-4.13505
1153,-7.5218
1154,-2.12096
1155,-8.9127
1156,-2.9423
1157,-9.797
1158,-3.40634
1159,-5.97503
1160,-3.29224
1161,-9.05543
1162,-1.29109
1163,-8.39804
1164,-2.83912
1165,-8.73103
1166,-0.76457
1167,-11.72117
1168,-1.96214
1169,-11.42176
1170,-0.94633
1171,-13.73902
1172,-2.20853
1173,-10.40922
1174,-1.5484
1175,-10.06182
1176,-1.97167
1177,-8.75149
1178,-3.81336
1179,-8.64993
1180,-4.82275
1181,-7.75844
1182,-2.32097
1183,-7.93449
1184,-1.57911
1185,-10.77557
1186,-1.6171
1187,-11.8091
1188,0.00612
1189,-12.51107
1190,-0.21922
1191,-13.87956
1192,-2.94782
1193,-9.08387
1194,-0.36203
1195,-9.74389
1196,-1.3549
1197,-10.14949
1198,-1.30298
1199,-10.18081
1200,-0.42823
1201,-14.34784
1202,-3.80195
1203,-7.96471
1204,-4.76537
1205,-7.27341
1206,-4.74242
1207,-5.73703
1208,-5.8353
1209,-3.85336
1210,-6.62761
1211,-4.51428
1212,-4.84201
1213,-5.08375
1214,-7.03346
1215,-1.79723
1216,-9.81665
1217,-1.2833
1218,-11.39172
1219,1.37783
1220,-15.87033
1221,0.86424
1222,-16.68005
1223,-3.63191
1224,-8.53419
1225,-4.04214
1226,-6.73253
1227,-4.59903
1228,-6.89952
1229,-4.02466
1230,-6.82864
1231,-3.72491
1232,-6.64232
1233,-3.63898
1234,-7.68144
1235,-3.49317
1236,-5.59392
1237,-5.37555
1238,-6.29998
1239,-5.52964
1240,-6.65587
1241,-4.57634
1242,-5.98783
1243,-6.29376
1244,-5.23116
1245,-5.64821
1246,-5.1205
1247,-5.57697
1248,-5.9869
1249,-3.77765
1250,-7.26474
1251,-1.96323
1252,-6.65571
1253,-3.12199
1254,-4.32429
1255,-4.53657
1256,-6.38445
1257,-2.88021
1258,-9.29566
1259,-1.94215
1260,-9.88036
1261,-1.22316
1262,-10.53607
1263,-1.57022
1264,-9.80846
1265,-1.94552
1266,-9.97475
1267,-1.77373
1268,-11.72769
1269,-1.53403
1270,-7.9595
1271,-3.15114
1272,-8.34006
1273,-4.59266
1274,-6.15204
1275,-4.78865
1276,-5.69043
1277,-4.46412
1278,-5.70182
1279,-5.49304
1280,-5.00832
1281,-5.08712
1282,-6.49456
1283,-3.4222
1284,-9.65107
1285,-3.42021
1286,-6.04885
1287,-4.89056
1288,-6.36478
1289,-5.22066
1290,-6.46562
1291,-5.75785
1292,-2.79008
1293,-9.35762
1294,-2.48683
1295,-8.04245
1296,-2.62993
1297,-9.1073
1298,-2.88893
1299,-9.58006
1300,-2.30907
1301,-9.97062
1302,-1.86925
1303,-11.5514
1304,-0.1949
1305,-12.51903
1306,0.12487
1307,-15.64597
1308,-0.49215
1309,-12.45469
1310,-1.67033
1311,-9.60388
1312,-0.94013
1313,-11.80889
1314,-1.15806
1315,-10.1431
1316,-3.3431
1317,-10.49339
1318,-2.94309
1319,-10.04282
1320,-1.2835
1321,-10.73695
1322,-0.63037
1323,-12.19401
1324,-0.42516
1325,-11.52597
1326,1.48859
1327,-15.85165
1328,-0.44826
1329,-15.20081
1330,-3.39641
1331,-9.53888
1332,1.25372
1333,-12.84959
1334,0.97073
1335,-12.62145
1336,-0.53064
1337,-14.06786
1338,0.75859
1339,-15.99279
1340,-3.05378
1341,-11.20022
1342,-1.3476
1343,-11.11705
1344,0.03169
1345,-14.03124
1346,-2.88201
1347,-12.15556
1348,-1.53919
1349,-11.33146
1350,-2.76809
1351,-11.54152
1352,-1.87262
1353,-9.2226
1354,-3.93983
1355,-7.616
1356,-4.73536
1357,-6.7882
1358,-3.51571
1359,-7.84779
1360,-2.96742
1361,-7.20718
1362,-2.62537
1363,-6.36383
1364,-5.83865
1365,-4.41631
1366,-6.41246
1367,-5.16874
1368,-5.2402
1369,-7.3902
1370,-4.95545
1371,-5.35545
1372,-4.10067
1373,-7.23744
1374,-3.44711
1375,-8.08059
1376,-2.03736
1377,-10.66995
1378,-2.672
1379,-6.71699
1380,-1.14835
1381,-12.54786
1382,-1.63908
1383,-12.56959
1384,-1.39275
1385,-10.13546
1386,-2.59636
1387,-8.4745
1388,-3.19204
1389,-6.98323
1390,-2.34213
1391,-9.08685
1392,-0.48183
1393,-12.31755
1394,-1.69156
1395,-13.45769
1396,-0.59778
1397,-12.97265
1398,-4.64609
1399,-6.16471
1400,-6.01021
1401,-6.9669
1402,-4.10992
1403,-8.14013
1404,-2.94523
1405,-10.05106
1406,-3.78964
1407,-8.17224
1408,-5.44165
1409,-8.34714
1410,-4.82799
1411,-8.60908
